drug_concept_name,condition_concept_name,PRR,mean_reporting_frequency,drug_concept_name_tokens,condition_concept_name_tokens
ergoloid mesylates usp,tinnitus,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9543, 3490, 5809, 102]"
ergoloid mesylates usp,vertigo,2.22222,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 28246, 102]"
ergoloid mesylates usp,diabetes mellitus,5.0,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14671, 11463, 15909, 2271, 102]"
ergoloid mesylates usp,hypoglycaemia,4.28571,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1044, 22571, 8649, 2135, 3540, 17577, 102]"
ergoloid mesylates usp,diabetes mellitus noninsulindependent,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14671, 11463, 15909, 2271, 2512, 7076, 18639, 3207, 11837, 16454, 102]"
ergoloid mesylates usp,eye disorder,13.3333,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 8761, 102]"
ergoloid mesylates usp,glaucoma,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1043, 17298, 9006, 2050, 102]"
ergoloid mesylates usp,eye irritation,10.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 17373, 102]"
ergoloid mesylates usp,eye movement disorder,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3239, 2929, 8761, 102]"
ergoloid mesylates usp,miosis,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2771, 12650, 102]"
ergoloid mesylates usp,photophobia,20.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 6302, 24920, 102]"
ergoloid mesylates usp,macular degeneration,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 6097, 7934, 2139, 6914, 16754, 102]"
ergoloid mesylates usp,retinal haemorrhage,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2128, 13770, 2140, 5292, 6633, 2953, 25032, 4270, 102]"
ergoloid mesylates usp,vision blurred,0.47619,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4432, 18449, 102]"
ergoloid mesylates usp,visual impairment,13.3333,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5107, 25172, 102]"
ergoloid mesylates usp,haematemesis,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5292, 14545, 18532, 19009, 102]"
ergoloid mesylates usp,melaena,5.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11463, 6679, 2532, 102]"
ergoloid mesylates usp,dysentery,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1040, 23274, 10111, 2854, 102]"
ergoloid mesylates usp,gastritis,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3806, 18886, 7315, 102]"
ergoloid mesylates usp,diarrhoea,0.75,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 22939, 12171, 14490, 2050, 102]"
ergoloid mesylates usp,constipation,0.769231,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9530, 16643, 24952, 2239, 102]"
ergoloid mesylates usp,abdominal pain,0.47619,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 21419, 3255, 102]"
ergoloid mesylates usp,abdominal pain upper,1.05263,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 21419, 3255, 3356, 102]"
ergoloid mesylates usp,dysphagia,2.72727,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1040, 7274, 21890, 10440, 102]"
ergoloid mesylates usp,faecal incontinence,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 17282, 9289, 4297, 12162, 21820, 3401, 102]"
ergoloid mesylates usp,nausea,0.649351,0.0378788,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 19029, 102]"
ergoloid mesylates usp,retching,7.5,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2128, 10649, 2075, 102]"
ergoloid mesylates usp,vomiting,0.6,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 24780, 102]"
ergoloid mesylates usp,gastric ulcer haemorrhage,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3806, 12412, 17359, 17119, 5292, 6633, 2953, 25032, 4270, 102]"
ergoloid mesylates usp,gastrointestinal carcinoma,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3806, 13181, 18447, 19126, 2482, 21081, 2863, 102]"
ergoloid mesylates usp,pancreatic carcinoma,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 6090, 16748, 12070, 2482, 21081, 2863, 102]"
ergoloid mesylates usp,hypoaesthesia oral,2.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1044, 22571, 10441, 25344, 8700, 102]"
ergoloid mesylates usp,tongue biting,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4416, 12344, 102]"
ergoloid mesylates usp,stomach discomfort,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4308, 17964, 102]"
ergoloid mesylates usp,hyperthermia,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 23760, 12399, 10092, 102]"
ergoloid mesylates usp,hyperpyrexia,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 23760, 7685, 2890, 14787, 102]"
ergoloid mesylates usp,pyrexia,1.29032,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 1052, 16363, 14787, 102]"
ergoloid mesylates usp,death,0.75,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2331, 102]"
ergoloid mesylates usp,asthenia,2.35294,0.0606061,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2004, 10760, 6200, 102]"
ergoloid mesylates usp,fatigue,0.689655,0.030303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 16342, 102]"
ergoloid mesylates usp,lethargy,1.11111,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2292, 8167, 6292, 102]"
ergoloid mesylates usp,malaise,1.59091,0.0530303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 28935, 5562, 102]"
ergoloid mesylates usp,feeling abnormal,2.59259,0.0530303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3110, 19470, 102]"
ergoloid mesylates usp,feeling drunk,6.66667,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3110, 7144, 102]"
ergoloid mesylates usp,peripheral coldness,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 15965, 3147, 2791, 102]"
ergoloid mesylates usp,abasia,5.0,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 19557, 8464, 102]"
ergoloid mesylates usp,gait disturbance,1.36364,0.0227273,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11721, 4183, 16915, 102]"
ergoloid mesylates usp,developmental delay,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 13908, 8536, 102]"
ergoloid mesylates usp,general physical health deterioration,0.714286,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2236, 3558, 2740, 26118, 102]"
ergoloid mesylates usp,irritability,3.33333,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 20868, 17728, 8553, 102]"
ergoloid mesylates usp,local swelling,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2334, 18348, 102]"
ergoloid mesylates usp,mobility decreased,1.42857,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 12969, 10548, 102]"
ergoloid mesylates usp,multiorgan failure,2.22222,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4800, 21759, 2319, 4945, 102]"
ergoloid mesylates usp,pallor,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 14412, 10626, 102]"
ergoloid mesylates usp,swelling,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 18348, 102]"
ergoloid mesylates usp,terminal state,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 5536, 2110, 102]"
ergoloid mesylates usp,unevaluable event,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 16655, 10175, 6692, 3468, 2724, 102]"
ergoloid mesylates usp,inflammation,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 21733, 102]"
ergoloid mesylates usp,polyp,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 26572, 2361, 102]"
ergoloid mesylates usp,face oedema,2.5,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2227, 1051, 14728, 2863, 102]"
ergoloid mesylates usp,pain,1.48936,0.0530303,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 3255, 102]"
ergoloid mesylates usp,procedural pain,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 24508, 3255, 102]"
ergoloid mesylates usp,product quality issue,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4031, 3737, 3277, 102]"
ergoloid mesylates usp,drug interaction,0.4,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4319, 8290, 102]"
ergoloid mesylates usp,drug ineffective,1.2766,0.0454545,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4319, 20694, 102]"
ergoloid mesylates usp,prostration,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4013, 20528, 3508, 102]"
ergoloid mesylates usp,hepatic function abnormal,2.22222,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 2002, 24952, 2278, 3853, 19470, 102]"
ergoloid mesylates usp,acute hepatic failure,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11325, 2002, 24952, 2278, 4945, 102]"
ergoloid mesylates usp,hepatitis fulminant,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 28389, 11865, 13728, 3981, 3372, 102]"
ergoloid mesylates usp,bronchospasm,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 22953, 12680, 2891, 19707, 2213, 102]"
ergoloid mesylates usp,dermatitis allergic,1.66667,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4315, 18900, 13706, 27395, 102]"
ergoloid mesylates usp,hypersensitivity,2.22222,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 23760, 5054, 28032, 7730, 102]"
ergoloid mesylates usp,stevensjohnson syndrome,10.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 8799, 5558, 7295, 3385, 8715, 102]"
ergoloid mesylates usp,dermatitis exfoliative,5.0,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4315, 18900, 13706, 4654, 21710, 6024, 102]"
ergoloid mesylates usp,drug hypersensitivity,1.25,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 4319, 23760, 5054, 28032, 7730, 102]"
ergoloid mesylates usp,toxic epidermal necrolysis,3.33333,0.00757576,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 11704, 4958, 18688, 9067, 26785, 13153, 20960, 102]"
ergoloid mesylates usp,anaphylactic shock,20.0,0.0151515,"[101, 9413, 24141, 9314, 2033, 6508, 26786, 2149, 2361, 102]","[101, 9617, 21281, 2721, 13306, 5213, 102]"
