drug_concept_name,condition_concept_name,PRR,mean_reporting_frequency,drug_concept_name_tokens,condition_concept_name_tokens
calcium carbonate,fractured coccyx,2.17391,0.000400946,"[101, 13853, 26427, 102]","[101, 21726, 2522, 9468, 17275, 102]"
calcium carbonate,fractured sacrum,0.956522,0.000441041,"[101, 13853, 26427, 102]","[101, 21726, 17266, 6824, 102]"
calcium carbonate,intervertebral disc injury,2.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 6970, 16874, 15878, 7941, 5860, 4544, 102]"
calcium carbonate,lumbar vertebral fracture,1.72414,0.00160378,"[101, 13853, 26427, 102]","[101, 11320, 11201, 2099, 2310, 19731, 10024, 2140, 19583, 102]"
calcium carbonate,spinal compression fracture,1.57729,0.00400946,"[101, 13853, 26427, 102]","[101, 16492, 13379, 19583, 102]"
calcium carbonate,spinal fracture,2.01823,0.00621467,"[101, 13853, 26427, 102]","[101, 16492, 19583, 102]"
calcium carbonate,thoracic vertebral fracture,1.88172,0.00140331,"[101, 13853, 26427, 102]","[101, 15321, 6305, 2594, 2310, 19731, 10024, 2140, 19583, 102]"
calcium carbonate,rib fracture,1.35135,0.00581372,"[101, 13853, 26427, 102]","[101, 19395, 19583, 102]"
calcium carbonate,sternal fracture,1.21622,0.000360852,"[101, 13853, 26427, 102]","[101, 8665, 2389, 19583, 102]"
calcium carbonate,clavicle fracture,2.7972,0.00160378,"[101, 13853, 26427, 102]","[101, 18856, 18891, 14321, 19583, 102]"
calcium carbonate,forearm fracture,3.42105,0.00052123,"[101, 13853, 26427, 102]","[101, 16148, 19583, 102]"
calcium carbonate,hand fracture,2.06107,0.00216511,"[101, 13853, 26427, 102]","[101, 2192, 19583, 102]"
calcium carbonate,humerus fracture,1.85185,0.0022052,"[101, 13853, 26427, 102]","[101, 20368, 7946, 19583, 102]"
calcium carbonate,radius fracture,1.56,0.00156369,"[101, 13853, 26427, 102]","[101, 12177, 19583, 102]"
calcium carbonate,scapula fracture,1.08696,0.000200473,"[101, 13853, 26427, 102]","[101, 8040, 9331, 7068, 19583, 102]"
calcium carbonate,ulna fracture,2.11111,0.000761798,"[101, 13853, 26427, 102]","[101, 17359, 2532, 19583, 102]"
calcium carbonate,upper limb fracture,1.77033,0.0044505,"[101, 13853, 26427, 102]","[101, 3356, 15291, 19583, 102]"
calcium carbonate,wrist fracture,2.02847,0.00457079,"[101, 13853, 26427, 102]","[101, 7223, 19583, 102]"
calcium carbonate,caustic injury,2.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 6187, 19966, 2594, 4544, 102]"
calcium carbonate,chemical burn of skin,1.42857,4.00946e-05,"[101, 13853, 26427, 102]","[101, 5072, 6402, 1997, 3096, 102]"
calcium carbonate,chemical injury,1.53846,8.01892e-05,"[101, 13853, 26427, 102]","[101, 5072, 4544, 102]"
calcium carbonate,respiratory fume inhalation disorder,2.5,4.00946e-05,"[101, 13853, 26427, 102]","[101, 16464, 11865, 4168, 1999, 19531, 3508, 8761, 102]"
calcium carbonate,acute generalised exanthematous pustulosis,0.815217,0.000601419,"[101, 13853, 26427, 102]","[101, 11325, 2236, 5084, 4654, 4630, 28433, 24826, 2015, 16405, 3367, 18845, 6190, 102]"
calcium carbonate,alcohol poisoning,0.454545,8.01892e-05,"[101, 13853, 26427, 102]","[101, 6544, 16149, 102]"
calcium carbonate,carbon monoxide poisoning,2.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 6351, 18847, 19491, 16149, 102]"
calcium carbonate,chemical poisoning,1.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 5072, 16149, 102]"
calcium carbonate,drug toxicity,0.905109,0.00248587,"[101, 13853, 26427, 102]","[101, 4319, 22423, 102]"
calcium carbonate,ergot poisoning,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 9413, 3995, 2102, 16149, 102]"
calcium carbonate,exposure to toxic agent,1.66667,4.00946e-05,"[101, 13853, 26427, 102]","[101, 7524, 2000, 11704, 4005, 102]"
calcium carbonate,nephropathy toxic,1.86813,0.00136322,"[101, 13853, 26427, 102]","[101, 11265, 8458, 18981, 17308, 11704, 102]"
calcium carbonate,neurotoxicity,1.06195,0.000481135,"[101, 13853, 26427, 102]","[101, 11265, 10976, 3406, 9048, 12972, 102]"
calcium carbonate,poisoning,0.542636,0.000280662,"[101, 13853, 26427, 102]","[101, 16149, 102]"
calcium carbonate,pulmonary toxicity,0.144928,4.00946e-05,"[101, 13853, 26427, 102]","[101, 21908, 22423, 102]"
calcium carbonate,retinoic acid syndrome,1.11111,4.00946e-05,"[101, 13853, 26427, 102]","[101, 2128, 25690, 2594, 5648, 8715, 102]"
calcium carbonate,skin toxicity,1.2,0.000120284,"[101, 13853, 26427, 102]","[101, 3096, 22423, 102]"
calcium carbonate,therapeutic agent toxicity,0.789474,0.00120284,"[101, 13853, 26427, 102]","[101, 17261, 4005, 22423, 102]"
calcium carbonate,toxic encephalopathy,1.39535,0.000481135,"[101, 13853, 26427, 102]","[101, 11704, 4372, 3401, 21890, 4135, 20166, 102]"
calcium carbonate,drug exposure during pregnancy,1.15385,0.00288681,"[101, 13853, 26427, 102]","[101, 4319, 7524, 2076, 10032, 102]"
calcium carbonate,maternal drugs affecting foetus,1.01796,0.000681609,"[101, 13853, 26427, 102]","[101, 11062, 5850, 12473, 22277, 5809, 102]"
calcium carbonate,paternal drugs affecting foetus,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 15112, 5850, 12473, 22277, 5809, 102]"
calcium carbonate,splenic haematoma,0.714286,4.00946e-05,"[101, 13853, 26427, 102]","[101, 11867, 7770, 2594, 5292, 14545, 20389, 2050, 102]"
calcium carbonate,aortic rupture,1.11111,4.00946e-05,"[101, 13853, 26427, 102]","[101, 20118, 28228, 2278, 21766, 13876, 5397, 102]"
calcium carbonate,arterial rupture,0.357143,4.00946e-05,"[101, 13853, 26427, 102]","[101, 25543, 21766, 13876, 5397, 102]"
calcium carbonate,vascular injury,4.6875,0.000601419,"[101, 13853, 26427, 102]","[101, 21449, 4544, 102]"
calcium carbonate,vascular rupture,1.02564,0.000160378,"[101, 13853, 26427, 102]","[101, 21449, 21766, 13876, 5397, 102]"
calcium carbonate,venous injury,2.5,0.000200473,"[101, 13853, 26427, 102]","[101, 2310, 18674, 4544, 102]"
calcium carbonate,brain contusion,2.0,0.000240568,"[101, 13853, 26427, 102]","[101, 4167, 9530, 5809, 3258, 102]"
calcium carbonate,brain herniation,1.06061,0.000280662,"[101, 13853, 26427, 102]","[101, 4167, 2014, 6200, 3508, 102]"
calcium carbonate,concussion,0.598802,0.000400946,"[101, 13853, 26427, 102]","[101, 23159, 102]"
calcium carbonate,extradural haematoma,0.454545,8.01892e-05,"[101, 13853, 26427, 102]","[101, 4469, 24979, 2389, 5292, 14545, 20389, 2050, 102]"
calcium carbonate,subdural haematoma,1.31466,0.00244577,"[101, 13853, 26427, 102]","[101, 4942, 24979, 2389, 5292, 14545, 20389, 2050, 102]"
calcium carbonate,subdural haemorrhage,1.73333,0.00052123,"[101, 13853, 26427, 102]","[101, 4942, 24979, 2389, 5292, 6633, 2953, 25032, 4270, 102]"
calcium carbonate,traumatic brain injury,0.540541,8.01892e-05,"[101, 13853, 26427, 102]","[101, 19686, 4167, 4544, 102]"
calcium carbonate,traumatic intracranial haemorrhage,0.555556,4.00946e-05,"[101, 13853, 26427, 102]","[101, 19686, 26721, 26775, 27532, 5292, 6633, 2953, 25032, 4270, 102]"
calcium carbonate,asbestosis,4.54545,0.000200473,"[101, 13853, 26427, 102]","[101, 29191, 2483, 102]"
calcium carbonate,chest injury,0.851064,0.000160378,"[101, 13853, 26427, 102]","[101, 3108, 4544, 102]"
calcium carbonate,collapse of lung,0.819672,0.000200473,"[101, 13853, 26427, 102]","[101, 7859, 1997, 11192, 102]"
calcium carbonate,diaphragmatic rupture,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 22939, 8458, 29181, 12644, 21766, 13876, 5397, 102]"
calcium carbonate,haemothorax,0.24,0.000120284,"[101, 13853, 26427, 102]","[101, 5292, 6633, 29288, 2527, 2595, 102]"
calcium carbonate,lung injury,2.14286,0.000120284,"[101, 13853, 26427, 102]","[101, 11192, 4544, 102]"
calcium carbonate,near drowning,20.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 2379, 14759, 102]"
calcium carbonate,pneumothorax traumatic,6.0,0.000120284,"[101, 13853, 26427, 102]","[101, 1052, 2638, 2819, 29288, 2527, 2595, 19686, 102]"
calcium carbonate,tracheal obstruction,5.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 19817, 15395, 2389, 27208, 102]"
calcium carbonate,epicondylitis,1.09091,0.000240568,"[101, 13853, 26427, 102]","[101, 8680, 15422, 8516, 13706, 102]"
calcium carbonate,iliotibial band syndrome,0.222222,4.00946e-05,"[101, 13853, 26427, 102]","[101, 6335, 25185, 12322, 4818, 2316, 8715, 102]"
calcium carbonate,ligament injury,0.909091,0.000160378,"[101, 13853, 26427, 102]","[101, 25641, 4544, 102]"
calcium carbonate,ligament rupture,1.07143,0.000481135,"[101, 13853, 26427, 102]","[101, 25641, 21766, 13876, 5397, 102]"
calcium carbonate,ligament sprain,1.52381,0.00192454,"[101, 13853, 26427, 102]","[101, 25641, 11867, 21166, 102]"
calcium carbonate,muscle injury,0.283019,0.000120284,"[101, 13853, 26427, 102]","[101, 6740, 4544, 102]"
calcium carbonate,muscle rupture,0.60241,0.000200473,"[101, 13853, 26427, 102]","[101, 6740, 21766, 13876, 5397, 102]"
calcium carbonate,muscle strain,0.650888,0.000882082,"[101, 13853, 26427, 102]","[101, 6740, 10178, 102]"
calcium carbonate,repetitive strain injury,5.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 23563, 10178, 4544, 102]"
calcium carbonate,sinus tarsi syndrome,1.25,4.00946e-05,"[101, 13853, 26427, 102]","[101, 8254, 2271, 16985, 5332, 8715, 102]"
calcium carbonate,tendon injury,0.632911,0.000200473,"[101, 13853, 26427, 102]","[101, 7166, 2239, 4544, 102]"
calcium carbonate,tendon rupture,1.08108,0.00144341,"[101, 13853, 26427, 102]","[101, 7166, 2239, 21766, 13876, 5397, 102]"
calcium carbonate,tendonitis,0.819672,0.00160378,"[101, 13853, 26427, 102]","[101, 7166, 10698, 7315, 102]"
calcium carbonate,nerve compression,0.782609,0.000721703,"[101, 13853, 26427, 102]","[101, 9113, 13379, 102]"
calcium carbonate,nerve injury,0.509804,0.00052123,"[101, 13853, 26427, 102]","[101, 9113, 4544, 102]"
calcium carbonate,accident,0.974359,0.000761798,"[101, 13853, 26427, 102]","[101, 4926, 102]"
calcium carbonate,accident at work,0.862069,0.000200473,"[101, 13853, 26427, 102]","[101, 4926, 2012, 2147, 102]"
calcium carbonate,animal bite,0.416667,8.01892e-05,"[101, 13853, 26427, 102]","[101, 4111, 6805, 102]"
calcium carbonate,animal scratch,1.30435,0.000120284,"[101, 13853, 26427, 102]","[101, 4111, 11969, 102]"
calcium carbonate,arthropod bite,1.17284,0.000761798,"[101, 13853, 26427, 102]","[101, 2396, 8093, 7361, 7716, 6805, 102]"
calcium carbonate,arthropod sting,1.11111,0.000200473,"[101, 13853, 26427, 102]","[101, 2396, 8093, 7361, 7716, 12072, 102]"
calcium carbonate,asphyxia,0.941176,0.000320757,"[101, 13853, 26427, 102]","[101, 2004, 21281, 14787, 102]"
calcium carbonate,bite,0.625,4.00946e-05,"[101, 13853, 26427, 102]","[101, 6805, 102]"
calcium carbonate,electric shock,1.42857,8.01892e-05,"[101, 13853, 26427, 102]","[101, 3751, 5213, 102]"
calcium carbonate,eschar,0.740741,8.01892e-05,"[101, 13853, 26427, 102]","[101, 9686, 7507, 2099, 102]"
calcium carbonate,excoriation,0.664557,0.000841987,"[101, 13853, 26427, 102]","[101, 4654, 27108, 18963, 102]"
calcium carbonate,fall,1.30259,0.0543683,"[101, 13853, 26427, 102]","[101, 2991, 102]"
calcium carbonate,foreign body trauma,1.35135,0.000200473,"[101, 13853, 26427, 102]","[101, 3097, 2303, 12603, 102]"
calcium carbonate,gun shot wound,0.238095,4.00946e-05,"[101, 13853, 26427, 102]","[101, 3282, 2915, 6357, 102]"
calcium carbonate,injury,0.580789,0.00625476,"[101, 13853, 26427, 102]","[101, 4544, 102]"
calcium carbonate,internal injury,0.666667,4.00946e-05,"[101, 13853, 26427, 102]","[101, 4722, 4544, 102]"
calcium carbonate,laceration,0.845361,0.00164388,"[101, 13853, 26427, 102]","[101, 12922, 8156, 102]"
calcium carbonate,multiple injuries,0.462963,0.000601419,"[101, 13853, 26427, 102]","[101, 3674, 6441, 102]"
calcium carbonate,open wound,0.545455,0.000240568,"[101, 13853, 26427, 102]","[101, 2330, 6357, 102]"
calcium carbonate,road traffic accident,0.797814,0.00292691,"[101, 13853, 26427, 102]","[101, 2346, 4026, 4926, 102]"
calcium carbonate,scar,0.708502,0.00140331,"[101, 13853, 26427, 102]","[101, 11228, 102]"
calcium carbonate,skeletal injury,0.909091,0.000400946,"[101, 13853, 26427, 102]","[101, 20415, 4544, 102]"
calcium carbonate,soft tissue injury,1.16279,0.000200473,"[101, 13853, 26427, 102]","[101, 3730, 8153, 4544, 102]"
calcium carbonate,traumatic arthritis,3.33333,8.01892e-05,"[101, 13853, 26427, 102]","[101, 19686, 27641, 102]"
calcium carbonate,traumatic haematoma,1.04167,0.000200473,"[101, 13853, 26427, 102]","[101, 19686, 5292, 14545, 20389, 2050, 102]"
calcium carbonate,traumatic haemorrhage,2.72727,0.000120284,"[101, 13853, 26427, 102]","[101, 19686, 5292, 6633, 2953, 25032, 4270, 102]"
calcium carbonate,wound,1.22172,0.00216511,"[101, 13853, 26427, 102]","[101, 6357, 102]"
calcium carbonate,wound complication,1.28205,0.000400946,"[101, 13853, 26427, 102]","[101, 6357, 4012, 21557, 102]"
calcium carbonate,wound haemorrhage,0.769231,0.000280662,"[101, 13853, 26427, 102]","[101, 6357, 5292, 6633, 2953, 25032, 4270, 102]"
calcium carbonate,median nerve injury,1.42857,4.00946e-05,"[101, 13853, 26427, 102]","[101, 3991, 9113, 4544, 102]"
calcium carbonate,meralgia paraesthetica,0.714286,4.00946e-05,"[101, 13853, 26427, 102]","[101, 21442, 2389, 10440, 11498, 4355, 20086, 2050, 102]"
calcium carbonate,peripheral nerve injury,0.588235,4.00946e-05,"[101, 13853, 26427, 102]","[101, 15965, 9113, 4544, 102]"
calcium carbonate,sciatic nerve injury,0.952381,8.01892e-05,"[101, 13853, 26427, 102]","[101, 16596, 12070, 9113, 4544, 102]"
calcium carbonate,perinephric collection,0.714286,4.00946e-05,"[101, 13853, 26427, 102]","[101, 2566, 3170, 8458, 7277, 3074, 102]"
calcium carbonate,renal injury,0.68323,0.00132312,"[101, 13853, 26427, 102]","[101, 25125, 4544, 102]"
calcium carbonate,back injury,1.30268,0.00136322,"[101, 13853, 26427, 102]","[101, 2067, 4544, 102]"
calcium carbonate,face injury,1.40625,0.000721703,"[101, 13853, 26427, 102]","[101, 2227, 4544, 102]"
calcium carbonate,head injury,1.05521,0.00344814,"[101, 13853, 26427, 102]","[101, 2132, 4544, 102]"
calcium carbonate,neck injury,1.06796,0.000441041,"[101, 13853, 26427, 102]","[101, 3300, 4544, 102]"
calcium carbonate,vertebral injury,7.5,0.000120284,"[101, 13853, 26427, 102]","[101, 2310, 19731, 10024, 2140, 4544, 102]"
calcium carbonate,blister,1.01871,0.00392927,"[101, 13853, 26427, 102]","[101, 1038, 9863, 2121, 102]"
calcium carbonate,blood blister,0.697674,0.000240568,"[101, 13853, 26427, 102]","[101, 2668, 1038, 9863, 2121, 102]"
calcium carbonate,contusion,0.937984,0.0097029,"[101, 13853, 26427, 102]","[101, 9530, 5809, 3258, 102]"
calcium carbonate,nail injury,1.11111,4.00946e-05,"[101, 13853, 26427, 102]","[101, 13774, 4544, 102]"
calcium carbonate,scratch,0.793651,0.000400946,"[101, 13853, 26427, 102]","[101, 11969, 102]"
calcium carbonate,skin injury,1.07143,0.000240568,"[101, 13853, 26427, 102]","[101, 3096, 4544, 102]"
calcium carbonate,skin laceration,1.16959,0.000801892,"[101, 13853, 26427, 102]","[101, 3096, 12922, 8156, 102]"
calcium carbonate,splinter,0.833333,4.00946e-05,"[101, 13853, 26427, 102]","[101, 27546, 102]"
calcium carbonate,subcutaneous haematoma,0.428571,0.000120284,"[101, 13853, 26427, 102]","[101, 4942, 12690, 17191, 5292, 14545, 20389, 2050, 102]"
calcium carbonate,spinal cord herniation,3.33333,4.00946e-05,"[101, 13853, 26427, 102]","[101, 16492, 11601, 2014, 6200, 3508, 102]"
calcium carbonate,spinal cord injury,1.78571,0.000200473,"[101, 13853, 26427, 102]","[101, 16492, 11601, 4544, 102]"
calcium carbonate,spinal cord injury thoracic,10.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 16492, 11601, 4544, 15321, 6305, 2594, 102]"
calcium carbonate,spondylopathy traumatic,10.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 11867, 15422, 8516, 29477, 16921, 19686, 102]"
calcium carbonate,mountain sickness acute,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 3137, 15556, 11325, 102]"
calcium carbonate,chillblains,2.5,8.01892e-05,"[101, 13853, 26427, 102]","[101, 10720, 28522, 7076, 102]"
calcium carbonate,frostbite,2.5,4.00946e-05,"[101, 13853, 26427, 102]","[101, 10097, 16313, 2063, 102]"
calcium carbonate,osteoradionecrosis,0.784314,0.000160378,"[101, 13853, 26427, 102]","[101, 9808, 2618, 6525, 29573, 8586, 29166, 102]"
calcium carbonate,pulmonary radiation injury,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 21908, 8249, 4544, 102]"
calcium carbonate,radiation injury,1.25,0.000160378,"[101, 13853, 26427, 102]","[101, 8249, 4544, 102]"
calcium carbonate,radiation mucositis,5.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 8249, 14163, 13186, 13706, 102]"
calcium carbonate,radiation pneumonitis,0.434783,4.00946e-05,"[101, 13853, 26427, 102]","[101, 8249, 1052, 2638, 2819, 10698, 7315, 102]"
calcium carbonate,radiation skin injury,0.769231,0.000120284,"[101, 13853, 26427, 102]","[101, 8249, 3096, 4544, 102]"
calcium carbonate,sunburn,0.298507,8.01892e-05,"[101, 13853, 26427, 102]","[101, 3103, 8022, 102]"
calcium carbonate,burn oesophageal,0.869565,8.01892e-05,"[101, 13853, 26427, 102]","[101, 6402, 1051, 2229, 7361, 3270, 3351, 2389, 102]"
calcium carbonate,burns second degree,0.454545,4.00946e-05,"[101, 13853, 26427, 102]","[101, 7641, 2117, 3014, 102]"
calcium carbonate,burns third degree,2.10526,0.000160378,"[101, 13853, 26427, 102]","[101, 7641, 2353, 3014, 102]"
calcium carbonate,thermal burn,0.564516,0.000280662,"[101, 13853, 26427, 102]","[101, 9829, 6402, 102]"
calcium carbonate,drug administered at inappropriate site,0.645161,0.000320757,"[101, 13853, 26427, 102]","[101, 4319, 8564, 2012, 15884, 2609, 102]"
calcium carbonate,drug administration error,1.45422,0.00324766,"[101, 13853, 26427, 102]","[101, 4319, 3447, 7561, 102]"
calcium carbonate,drug dose omission,1.00791,0.0102241,"[101, 13853, 26427, 102]","[101, 4319, 13004, 18168, 14643, 3258, 102]"
calcium carbonate,expired drug administered,0.674157,0.000481135,"[101, 13853, 26427, 102]","[101, 13735, 4319, 8564, 102]"
calcium carbonate,inappropriate schedule of drug administration,0.873606,0.00376889,"[101, 13853, 26427, 102]","[101, 15884, 6134, 1997, 4319, 3447, 102]"
calcium carbonate,incorrect dose administered,0.955787,0.00589391,"[101, 13853, 26427, 102]","[101, 16542, 13004, 8564, 102]"
calcium carbonate,incorrect drug administration duration,0.761035,0.00200473,"[101, 13853, 26427, 102]","[101, 16542, 4319, 3447, 9367, 102]"
calcium carbonate,incorrect drug administration rate,0.638298,0.000120284,"[101, 13853, 26427, 102]","[101, 16542, 4319, 3447, 3446, 102]"
calcium carbonate,incorrect route of drug administration,0.87766,0.00132312,"[101, 13853, 26427, 102]","[101, 16542, 2799, 1997, 4319, 3447, 102]"
calcium carbonate,poor quality drug administered,0.442478,0.000200473,"[101, 13853, 26427, 102]","[101, 3532, 3737, 4319, 8564, 102]"
calcium carbonate,underdose,0.901639,0.000882082,"[101, 13853, 26427, 102]","[101, 2104, 12269, 2063, 102]"
calcium carbonate,wrong drug administered,0.899471,0.000681609,"[101, 13853, 26427, 102]","[101, 3308, 4319, 8564, 102]"
calcium carbonate,wrong technique in drug usage process,0.874898,0.00429012,"[101, 13853, 26427, 102]","[101, 3308, 6028, 1999, 4319, 8192, 2832, 102]"
calcium carbonate,circumstance or information capable of leading to medication error,0.617284,0.000200473,"[101, 13853, 26427, 102]","[101, 25652, 2030, 2592, 5214, 1997, 2877, 2000, 14667, 7561, 102]"
calcium carbonate,drug dispensing error,0.50505,0.000400946,"[101, 13853, 26427, 102]","[101, 4319, 4487, 13102, 6132, 2075, 7561, 102]"
calcium carbonate,drug prescribing error,0.869565,0.000962271,"[101, 13853, 26427, 102]","[101, 4319, 3653, 11020, 3089, 10472, 7561, 102]"
calcium carbonate,intercepted drug dispensing error,0.555556,4.00946e-05,"[101, 13853, 26427, 102]","[101, 16618, 4319, 4487, 13102, 6132, 2075, 7561, 102]"
calcium carbonate,medication error,1.02345,0.00384908,"[101, 13853, 26427, 102]","[101, 14667, 7561, 102]"
calcium carbonate,accidental drug intake by child,20.0,0.00144341,"[101, 13853, 26427, 102]","[101, 17128, 4319, 13822, 2011, 2775, 102]"
calcium carbonate,accidental exposure,1.35135,0.000400946,"[101, 13853, 26427, 102]","[101, 17128, 7524, 102]"
calcium carbonate,drug exposure via breast milk,3.52941,0.000240568,"[101, 13853, 26427, 102]","[101, 4319, 7524, 3081, 7388, 6501, 102]"
calcium carbonate,documented hypersensitivity to administered drug,1.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 8832, 23760, 5054, 28032, 7730, 2000, 8564, 4319, 102]"
calcium carbonate,labelled drugdrug interaction medication error,2.0,0.000400946,"[101, 13853, 26427, 102]","[101, 18251, 4319, 13626, 15916, 8290, 14667, 7561, 102]"
calcium carbonate,accidental overdose,1.85279,0.00292691,"[101, 13853, 26427, 102]","[101, 17128, 26641, 102]"
calcium carbonate,intentional overdose,0.569307,0.000922176,"[101, 13853, 26427, 102]","[101, 21249, 26641, 102]"
calcium carbonate,multiple drug overdose,0.352113,0.000200473,"[101, 13853, 26427, 102]","[101, 3674, 4319, 26641, 102]"
calcium carbonate,multiple drug overdose intentional,0.215054,8.01892e-05,"[101, 13853, 26427, 102]","[101, 3674, 4319, 26641, 21249, 102]"
calcium carbonate,overdose,0.985626,0.00769817,"[101, 13853, 26427, 102]","[101, 26641, 102]"
calcium carbonate,anaesthetic complication,2.5,0.000240568,"[101, 13853, 26427, 102]","[101, 9617, 4355, 20086, 4012, 21557, 102]"
calcium carbonate,delayed recovery from anaesthesia,1.33333,8.01892e-05,"[101, 13853, 26427, 102]","[101, 8394, 7233, 2013, 9617, 25344, 102]"
calcium carbonate,inadequate analgesia,0.357143,0.000240568,"[101, 13853, 26427, 102]","[101, 14710, 20302, 8449, 2401, 102]"
calcium carbonate,arteriovenous fistula occlusion,1.66667,8.01892e-05,"[101, 13853, 26427, 102]","[101, 16185, 9488, 8159, 3560, 7345, 7068, 1051, 9468, 24117, 102]"
calcium carbonate,arteriovenous fistula site complication,3.52941,0.000240568,"[101, 13853, 26427, 102]","[101, 16185, 9488, 8159, 3560, 7345, 7068, 2609, 4012, 21557, 102]"
calcium carbonate,arteriovenous fistula thrombosis,4.0,0.000320757,"[101, 13853, 26427, 102]","[101, 16185, 9488, 8159, 3560, 7345, 7068, 16215, 21716, 15853, 2483, 102]"
calcium carbonate,arteriovenous graft aneurysm,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 16185, 9488, 8159, 3560, 22160, 2102, 2019, 11236, 7274, 2213, 102]"
calcium carbonate,blue toe syndrome,1.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 2630, 11756, 8715, 102]"
calcium carbonate,phlebitis,0.930233,0.000801892,"[101, 13853, 26427, 102]","[101, 6887, 2571, 16313, 2483, 102]"
calcium carbonate,vascular graft complication,2.0,8.01892e-05,"[101, 13853, 26427, 102]","[101, 21449, 22160, 2102, 4012, 21557, 102]"
calcium carbonate,vascular graft occlusion,0.810811,0.000120284,"[101, 13853, 26427, 102]","[101, 21449, 22160, 2102, 1051, 9468, 24117, 102]"
calcium carbonate,vascular procedure complication,10.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 21449, 7709, 4012, 21557, 102]"
calcium carbonate,vascular pseudoaneurysm,0.21978,8.01892e-05,"[101, 13853, 26427, 102]","[101, 21449, 18404, 7231, 13098, 6491, 102]"
calcium carbonate,vessel perforation,2.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 6258, 2566, 29278, 3370, 102]"
calcium carbonate,device breakage,0.736196,0.000481135,"[101, 13853, 26427, 102]","[101, 5080, 3338, 4270, 102]"
calcium carbonate,device failure,0.572139,0.000922176,"[101, 13853, 26427, 102]","[101, 5080, 4945, 102]"
calcium carbonate,device leakage,1.13636,0.000200473,"[101, 13853, 26427, 102]","[101, 5080, 17271, 4270, 102]"
calcium carbonate,syringe issue,2.85714,8.01892e-05,"[101, 13853, 26427, 102]","[101, 25353, 4892, 2063, 3277, 102]"
calcium carbonate,device dislocation,1.17284,0.000761798,"[101, 13853, 26427, 102]","[101, 5080, 4487, 14540, 23909, 102]"
calcium carbonate,device malfunction,0.686869,0.00136322,"[101, 13853, 26427, 102]","[101, 5080, 15451, 11263, 27989, 102]"
calcium carbonate,device occlusion,0.674157,0.000240568,"[101, 13853, 26427, 102]","[101, 5080, 1051, 9468, 24117, 102]"
calcium carbonate,drug delivery system malfunction,0.192308,4.00946e-05,"[101, 13853, 26427, 102]","[101, 4319, 6959, 2291, 15451, 11263, 27989, 102]"
calcium carbonate,implantable defibrillator malfunction,1.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 27159, 3085, 13366, 12322, 24714, 8844, 15451, 11263, 27989, 102]"
calcium carbonate,accidental needle stick,0.714286,0.000120284,"[101, 13853, 26427, 102]","[101, 17128, 12201, 6293, 102]"
calcium carbonate,complication of device insertion,1.25,8.01892e-05,"[101, 13853, 26427, 102]","[101, 4012, 21557, 1997, 5080, 23851, 102]"
calcium carbonate,device intolerance,1.11111,4.00946e-05,"[101, 13853, 26427, 102]","[101, 5080, 2046, 3917, 6651, 102]"
calcium carbonate,device migration,1.25,4.00946e-05,"[101, 13853, 26427, 102]","[101, 5080, 9230, 102]"
calcium carbonate,device misuse,0.97561,0.000160378,"[101, 13853, 26427, 102]","[101, 5080, 28616, 8557, 102]"
calcium carbonate,iud migration,5.0,4.00946e-05,"[101, 13853, 26427, 102]","[101, 1045, 6784, 9230, 102]"
calcium carbonate,medical device complication,1.13281,0.00116274,"[101, 13853, 26427, 102]","[101, 2966, 5080, 4012, 21557, 102]"
calcium carbonate,medical device discomfort,0.952381,8.01892e-05,"[101, 13853, 26427, 102]","[101, 2966, 5080, 17964, 102]"
calcium carbonate,medical device pain,0.588235,8.01892e-05,"[101, 13853, 26427, 102]","[101, 2966, 5080, 3255, 102]"
calcium carbonate,stent occlusion,0.238095,4.00946e-05,"[101, 13853, 26427, 102]","[101, 26261, 3372, 1051, 9468, 24117, 102]"
calcium carbonate,thrombosis in device,1.73469,0.000681609,"[101, 13853, 26427, 102]","[101, 16215, 21716, 15853, 2483, 1999, 5080, 102]"
calcium carbonate,feeding tube complication,0.869565,8.01892e-05,"[101, 13853, 26427, 102]","[101, 8521, 7270, 4012, 21557, 102]"
